100 30 100 200  1.47263e+06 96.0856 12.0058 41.9925 9218.23
100 30 100 400  1.26266e+06 97.3044 2.0914 41.9994 9263.52
100 30 100 600  604640 93.5794 5.14888 41.9955 9273.7
100 30 100 800  569910 92.7409 5.63151 41.9848 9296.13
100 30 100 1000  583242 92.8754 6.48562 41.9918 9297.31
