100 30 100 200  1.68896e+06 97.22 7.73775 41.9982 9234.41
100 30 100 400  1.28453e+06 97.4101 2.43754 41.999 9275.31
100 30 100 600  579347 90.8749 8.74882 41.9904 9208.95
100 30 100 800  578602 92.2144 7.53031 41.9964 9299.16
100 30 100 1000  579536 91.9822 6.77696 41.9848 9252.51
